Tasks:20	Robots:6
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
124	7656	0.900000	1.019785	305.251516	0.038131	0.032547	788.063737	674.598261	99	93	0.909091	0.000000	0.767332	0.102110	0.769590	0.139422	0.751534	0.191446
125	7635	0.950000	1.019498	210.259042	0.040433	0.030019	887.566056	642.806009	50	46	0.909091	0.000000	0.805300	0.162156	0.556548	0.304137	0.515741	0.299468
126	7635	0.950000	1.017947	215.737946	0.035329	0.018491	661.302378	371.481778	109	105	0.909091	0.000000	0.629872	0.380254	0.796914	0.188713	0.627249	0.362214
127	6814	0.900000	1.017774	488.439477	0.041846	0.033240	757.806021	613.419930	96	87	0.909091	0.000000	0.752498	0.137295	0.867361	0.152124	0.879861	0.144684
128	4500	0.950000	1.016523	207.316369	0.037599	0.021640	622.162411	376.498552	77	72	0.909091	0.000000	0.547959	0.352936	0.756250	0.204562	0.580826	0.331834
129	4716	1.000000	1.024445	1.005301	0.043155	0.022987	797.413217	436.462110	95	95	0.909091	0.000000	0.635888	0.237549	0.864246	0.157884	0.854911	0.123967
130	7636	1.000000	1.021674	1.009782	0.047136	0.031699	866.270301	586.289106	78	78	0.606061	0.469453	0.461844	0.445861	0.534127	0.441790	0.500417	0.419406
131	7616	0.950000	1.026511	211.130572	0.061382	0.046497	1129.750703	837.978206	161	154	0.909091	0.000000	0.728604	0.279456	0.916049	0.064806	0.895679	0.061638
132	7635	1.000000	1.023088	1.012469	0.042083	0.029597	775.093658	560.017345	90	90	0.909091	0.000000	0.684039	0.245226	0.810417	0.164100	0.833223	0.205416
133	7444	0.950000	1.015565	124.359181	0.035533	0.027151	643.475867	491.632535	80	78	0.909091	0.000000	0.739106	0.146630	0.819048	0.153950	0.927381	0.438746
134	5391	0.950000	1.014258	111.542363	0.029119	0.024884	609.853993	516.037064	123	118	0.909091	0.000000	0.824746	0.209267	0.893395	0.093468	0.892601	0.128702
135	7620	1.000000	1.018721	1.004940	0.036368	0.020955	627.911929	368.721446	133	133	0.909091	0.000000	0.608125	0.317222	0.931448	0.066901	0.735461	0.370806
136	7622	0.950000	1.017579	208.225687	0.037538	0.025616	686.922216	491.687015	66	64	0.909091	0.000000	0.655214	0.300217	0.788194	0.179900	0.778472	0.200527
137	6832	0.950000	1.011321	113.856731	0.027095	0.020608	493.217627	377.117812	85	80	0.909091	0.000000	0.704683	0.192108	0.860648	0.159382	0.827778	0.168874
138	5124	0.950000	1.018980	212.325156	0.043035	0.031107	735.616052	526.743254	143	136	0.909091	0.000000	0.707639	0.149955	0.981481	0.045361	0.981481	0.045361
139	7641	0.900000	1.015025	627.625701	0.030159	0.029088	533.433783	470.128365	50	46	0.757576	0.371135	0.731054	0.512924	0.545635	0.371872	0.564236	0.390113
140	4362	0.950000	1.022327	208.036263	0.047647	0.034876	930.565935	688.959639	68	66	0.757576	0.371135	0.586982	0.463748	0.578290	0.294571	0.419180	0.343050
141	6884	0.950000	1.016856	109.245517	0.036186	0.022317	640.113776	409.864728	77	70	0.909091	0.000000	0.617126	0.205335	0.814043	0.205055	0.791512	0.246728
142	7636	1.000000	1.023763	1.010023	0.049612	0.034285	905.764779	652.250294	79	79	0.909091	0.000000	0.721319	0.223377	0.764784	0.155551	0.770833	0.143735
143	4862	0.950000	1.015304	110.112846	0.034406	0.021991	690.831657	429.938701	70	68	0.909091	0.000000	0.547232	0.338318	0.583466	0.267162	0.541865	0.348922
144	7643	0.950000	1.027466	111.254327	0.054614	0.037956	1061.656946	747.928616	105	98	0.909091	0.000000	0.719942	0.461345	0.881129	0.150200	0.868706	0.188078
145	4599	0.950000	1.019981	117.144203	0.038348	0.026302	738.612268	526.570411	125	120	0.909091	0.000000	0.677893	0.237264	0.805556	0.147070	0.897222	0.459035
146	7453	0.950000	1.019138	123.810080	0.036991	0.021403	770.937693	475.065847	61	59	0.909091	0.000000	0.767605	0.375022	0.582407	0.224500	0.590278	0.244973
147	4917	0.950000	1.013800	211.717515	0.030725	0.022199	541.813511	399.728962	108	103	0.909091	0.000000	0.671982	0.197513	0.875000	0.107941	0.864583	0.141622
148	4885	0.950000	1.014817	210.257203	0.031921	0.025078	749.873451	569.503101	101	96	0.909091	0.000000	0.789925	0.373258	0.782143	0.142500	0.773611	0.129144
149	4716	0.900000	1.012129	694.375101	0.029349	0.020118	644.130075	457.640462	75	70	0.757576	0.371135	0.609923	0.477525	0.570486	0.323904	0.344444	0.295130
150	4456	0.950000	1.011741	219.965150	0.024836	0.019130	515.101705	378.433610	97	94	0.909091	0.000000	0.637783	0.331103	0.790741	0.159732	0.629051	0.344584
151	7628	0.950000	1.018876	117.470172	0.045016	0.025507	866.568688	444.998519	54	53	0.909091	0.000000	0.566263	0.469216	0.730556	0.276525	0.345525	0.312837
152	7393	1.000000	1.019855	1.004414	0.037262	0.019301	718.344118	363.937851	152	152	0.909091	0.000000	0.519100	0.417318	0.865123	0.075345	0.575926	0.453378
153	5968	1.000000	1.020449	1.006419	0.045657	0.028609	1012.938169	640.748333	101	101	0.909091	0.000000	0.637661	0.250181	0.746462	0.199812	0.711640	0.181444
154	7624	1.000000	1.027159	1.013623	0.053948	0.038375	1022.486766	721.285906	83	83	0.909091	0.000000	0.691402	0.179589	0.738049	0.192704	0.777897	0.133997
155	7625	1.000000	1.020117	1.005757	0.038692	0.022074	781.729589	427.540296	81	81	0.909091	0.000000	0.577112	0.313859	0.760575	0.145865	0.615873	0.331377
156	5652	0.900000	1.016162	500.135045	0.034082	0.030874	654.277225	597.546382	57	49	0.909091	0.000000	0.806488	0.155374	0.709877	0.145186	0.690697	0.213649
157	5905	0.950000	1.013345	122.215909	0.030605	0.022702	716.895803	528.961529	54	48	0.909091	0.000000	0.724469	0.146643	0.679927	0.270258	0.809325	0.621326
